2018-06-15 12:39:56[INFO]	Start testing api/captcha...
2018-06-15 12:39:59[DEBUG]	Get connection for route {}->http://jt.yunba.io:80
2018-06-15 12:39:59[DEBUG]	Connecting to jt.yunba.io:80
2018-06-15 12:39:59[DEBUG]	CookieSpec selected: ignoreCookies
2018-06-15 12:39:59[DEBUG]	Auth cache not set in the context
2018-06-15 12:39:59[DEBUG]	Target auth state: UNCHALLENGED
2018-06-15 12:39:59[DEBUG]	Proxy auth state: UNCHALLENGED
2018-06-15 12:39:59[DEBUG]	Attempt 1 to execute request
2018-06-15 12:39:59[DEBUG]	Sending request: GET /api/captcha?phone=12345678912 HTTP/1.1
2018-06-15 12:39:59[DEBUG]	 >> "GET /api/captcha?phone=12345678912 HTTP/1.1[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "Accept: */*[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "Host: jt.yunba.io[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "Connection: Keep-Alive[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_172)[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 >> "[\r][\n]"
2018-06-15 12:39:59[DEBUG]	>> GET /api/captcha?phone=12345678912 HTTP/1.1
2018-06-15 12:39:59[DEBUG]	>> Accept: */*
2018-06-15 12:39:59[DEBUG]	>> Host: jt.yunba.io
2018-06-15 12:39:59[DEBUG]	>> Connection: Keep-Alive
2018-06-15 12:39:59[DEBUG]	>> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_172)
2018-06-15 12:39:59[DEBUG]	>> Accept-Encoding: gzip,deflate
2018-06-15 12:39:59[DEBUG]	 << "HTTP/1.1 200 OK[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Server: nginx/1.8.0[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Date: Fri, 15 Jun 2018 04:39:59 GMT[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Content-Type: application/json[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Content-Length: 15[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Connection: keep-alive[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Set-Cookie: JSESSIONID=danzrf8su97xu0cad9u2yb6p;Path=/api[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Expires: Thu, 01 Jan 1970 00:00:00 GMT[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Access-Control-Allow-Headers: origin, content-type, accept, authorization, x-auth-token[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Access-Control-Allow-Credentials: true[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "Access-Control-Allow-Origin: *[\r][\n]"
2018-06-15 12:39:59[DEBUG]	 << "[\r][\n]"
2018-06-15 12:39:59[DEBUG]	Receiving response: HTTP/1.1 200 OK
2018-06-15 12:39:59[DEBUG]	<< HTTP/1.1 200 OK
2018-06-15 12:39:59[DEBUG]	<< Server: nginx/1.8.0
2018-06-15 12:39:59[DEBUG]	<< Date: Fri, 15 Jun 2018 04:39:59 GMT
2018-06-15 12:39:59[DEBUG]	<< Content-Type: application/json
2018-06-15 12:39:59[DEBUG]	<< Content-Length: 15
2018-06-15 12:39:59[DEBUG]	<< Connection: keep-alive
2018-06-15 12:39:59[DEBUG]	<< Set-Cookie: JSESSIONID=danzrf8su97xu0cad9u2yb6p;Path=/api
2018-06-15 12:39:59[DEBUG]	<< Expires: Thu, 01 Jan 1970 00:00:00 GMT
2018-06-15 12:39:59[DEBUG]	<< Access-Control-Allow-Headers: origin, content-type, accept, authorization, x-auth-token
2018-06-15 12:39:59[DEBUG]	<< Access-Control-Allow-Credentials: true
2018-06-15 12:39:59[DEBUG]	<< Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS
2018-06-15 12:39:59[DEBUG]	<< Access-Control-Allow-Origin: *
2018-06-15 12:39:59[DEBUG]	Connection can be kept alive indefinitely
2018-06-15 12:39:59[DEBUG]	Parsing response as: application/json
2018-06-15 12:39:59[DEBUG]	Parsed data to instance of: class org.apache.http.conn.EofSensorInputStream
2018-06-15 12:40:00[DEBUG]	 << "{"status":"ok"}"
2018-06-15 12:40:00[DEBUG]	Releasing connection org.apache.http.impl.conn.ManagedClientConnectionImpl@6c4980d3
2018-06-15 12:40:00[DEBUG]	Connection can be kept alive indefinitely
2018-06-15 12:40:00[DEBUG]	{"status":"ok"}
2018-06-15 12:40:00[INFO]	Finish testing api/captcha: OK
2018-06-15 12:40:00[INFO]	Start testing api/captchaLogin...
2018-06-15 12:40:00[DEBUG]	Get connection for route {}->http://jt.yunba.io:80
2018-06-15 12:40:00[DEBUG]	Connecting to jt.yunba.io:80
2018-06-15 12:40:00[DEBUG]	CookieSpec selected: ignoreCookies
2018-06-15 12:40:00[DEBUG]	Auth cache not set in the context
2018-06-15 12:40:00[DEBUG]	Target auth state: UNCHALLENGED
2018-06-15 12:40:00[DEBUG]	Proxy auth state: UNCHALLENGED
2018-06-15 12:40:00[DEBUG]	Attempt 1 to execute request
2018-06-15 12:40:00[DEBUG]	Sending request: POST /api/captcha HTTP/1.1
2018-06-15 12:40:00[DEBUG]	 >> "POST /api/captcha HTTP/1.1[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Accept: */*[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Content-Type: application/x-www-form-urlencoded; charset=ISO-8859-1[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Content-Length: 32[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Host: jt.yunba.io[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Connection: Keep-Alive[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_172)[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-06-15 12:40:00[DEBUG]	 >> "[\r][\n]"
2018-06-15 12:40:00[DEBUG]	>> POST /api/captcha HTTP/1.1
2018-06-15 12:40:00[DEBUG]	>> Accept: */*
2018-06-15 12:40:00[DEBUG]	>> Content-Type: application/x-www-form-urlencoded; charset=ISO-8859-1
2018-06-15 12:40:00[DEBUG]	>> Content-Length: 32
2018-06-15 12:40:00[DEBUG]	>> Host: jt.yunba.io
2018-06-15 12:40:00[DEBUG]	>> Connection: Keep-Alive
2018-06-15 12:40:00[DEBUG]	>> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_172)
2018-06-15 12:40:00[DEBUG]	>> Accept-Encoding: gzip,deflate
2018-06-15 12:40:00[DEBUG]	 >> "phone=12345678912&captcha=123456"
2018-06-15 12:40:01[DEBUG]	 << "HTTP/1.1 200 OK[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Server: nginx/1.8.0[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Date: Fri, 15 Jun 2018 04:40:01 GMT[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Content-Type: application/json[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Transfer-Encoding: chunked[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Connection: keep-alive[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Vary: Accept-Encoding[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Set-Cookie: JSESSIONID=1f0kz7s5y7tc01608w8n7n6nlu;Path=/api[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Expires: Thu, 01 Jan 1970 00:00:00 GMT[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Access-Control-Allow-Headers: origin, content-type, accept, authorization, x-auth-token[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Access-Control-Allow-Credentials: true[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Access-Control-Allow-Origin: *[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "Content-Encoding: gzip[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "[\r][\n]"
2018-06-15 12:40:01[DEBUG]	Receiving response: HTTP/1.1 200 OK
2018-06-15 12:40:01[DEBUG]	<< HTTP/1.1 200 OK
2018-06-15 12:40:01[DEBUG]	<< Server: nginx/1.8.0
2018-06-15 12:40:01[DEBUG]	<< Date: Fri, 15 Jun 2018 04:40:01 GMT
2018-06-15 12:40:01[DEBUG]	<< Content-Type: application/json
2018-06-15 12:40:01[DEBUG]	<< Transfer-Encoding: chunked
2018-06-15 12:40:01[DEBUG]	<< Connection: keep-alive
2018-06-15 12:40:01[DEBUG]	<< Vary: Accept-Encoding
2018-06-15 12:40:01[DEBUG]	<< Set-Cookie: JSESSIONID=1f0kz7s5y7tc01608w8n7n6nlu;Path=/api
2018-06-15 12:40:01[DEBUG]	<< Expires: Thu, 01 Jan 1970 00:00:00 GMT
2018-06-15 12:40:01[DEBUG]	<< Access-Control-Allow-Headers: origin, content-type, accept, authorization, x-auth-token
2018-06-15 12:40:01[DEBUG]	<< Access-Control-Allow-Credentials: true
2018-06-15 12:40:01[DEBUG]	<< Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS
2018-06-15 12:40:01[DEBUG]	<< Access-Control-Allow-Origin: *
2018-06-15 12:40:01[DEBUG]	<< Content-Encoding: gzip
2018-06-15 12:40:01[DEBUG]	Connection can be kept alive indefinitely
2018-06-15 12:40:01[DEBUG]	Parsing response as: application/json
2018-06-15 12:40:01[DEBUG]	 << "100[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0x3]]P[0xcb]N[0xc3]@[0xc][0xfc][0x17][0x9f]S[0x94]G[0x81]4W$[0xc4][0xa1]'[0xc4][0x85][0xa3][0xd3]5[0xad][0xc5][0xee]:[0xda][0xdd][0xb4][0xa4]U[0xff][0x1d][0xaf][0x2]Q[0xe1]6[0xe3][0xc7][0x8c][0xc7][0x17]`[0x3]]U[0x16][0x80])[0x5][0xee][0xc7]D[0x11][0xba][0xcb][0xb5][0x0][0x8f][0x8e][0xa0][0x83][0xf7][0xd5]D[0xe7][0x3][0xf9][0x1e][0xfd][0x1e][\n]"
2018-06-15 12:40:01[DEBUG]	 << "[0xb0][0xb2]g[0xaf]e[0x85][0xe4][0x90][0xad][0xc2]?[0xfd][0xe1] >[0xaf]Uu[0xb3][0xbe]xl7U[0xad][0xd5]@h[0xc4][0xdb][0x9][0xba][0xf][0xb4][0x91][0xd4][0xcc][0xb8],[0xf3][0xc3][0x1c][0xe][0xb3][0xa4][0xc5][0xc4]i4*P[0xde][0x95][0xd9][0xcc][0xef]o[0xf9]Y[0xc4]), [0x9d][0xc8][0x1e][0xe9]E[0xc6][0xf0],[0xc1]aZ[0x94]v"[0xc1][0xb0][0xc7]D[0xbf][0x8d],k8bo[0xc9],c[0xf4]5pP/[0xf1]o[0x9c]S[0xfa][0xd1]Z[0x1d][0xa3]#[0xef]h[0xcb][0x8e]uoU[0x15]0F[\n]"
2018-06-15 12:40:01[DEBUG]	 << "7t[0xee][0xbf][0xfe][0xcf][0x92][0xe4][0x93][0xf2]K[0xea]M[0xbd]n[0xda][0xa6][0xcd]9[0xf2][0xd2][0x93]8[0x87][0xde][0xc4]ep[0x10][0xde][0xe2]Da>j[0xc0][0x18]Oz[0xed][0xec]~[0xfd][0x6][0xf9][0xbb]6#[0x89][0x1][0x0][0x0]"
2018-06-15 12:40:01[DEBUG]	 << "[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "0[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 << "[\r][\n]"
2018-06-15 12:40:01[DEBUG]	Parsed data to instance of: class org.apache.http.conn.EofSensorInputStream
2018-06-15 12:40:01[DEBUG]	Releasing connection org.apache.http.impl.conn.ManagedClientConnectionImpl@7ce97ee5
2018-06-15 12:40:01[DEBUG]	Connection can be kept alive indefinitely
2018-06-15 12:40:01[DEBUG]	{"id":10,"attributes":{},"name":"Y-yezhenbang","login":"","email":"yezhenbang","phone":"12345678912","readonly":false,"admin":false,"map":"","latitude":0.0,"longitude":0.0,"zoom":0,"twelveHourFormat":false,"coordinateFormat":"","disabled":false,"expirationTime":null,"deviceLimit":-1,"userLimit":-1,"deviceReadonly":false,"token":"29243838","limitCommands":false,"poiLayer":"","password":null}
2018-06-15 12:40:01[INFO]	Finish testing api/captchaLogin: OK
2018-06-15 12:40:01[INFO]	Start testing api/devices...
2018-06-15 12:40:01[DEBUG]	Get connection for route {}->http://jt.yunba.io:80
2018-06-15 12:40:01[DEBUG]	Connecting to jt.yunba.io:80
2018-06-15 12:40:01[DEBUG]	CookieSpec selected: ignoreCookies
2018-06-15 12:40:01[DEBUG]	Auth cache not set in the context
2018-06-15 12:40:01[DEBUG]	Target auth state: UNCHALLENGED
2018-06-15 12:40:01[DEBUG]	Proxy auth state: UNCHALLENGED
2018-06-15 12:40:01[DEBUG]	Attempt 1 to execute request
2018-06-15 12:40:01[DEBUG]	Sending request: GET /api/devices HTTP/1.1
2018-06-15 12:40:01[DEBUG]	 >> "GET /api/devices HTTP/1.1[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 >> "cookie: JSESSIONID=1f0kz7s5y7tc01608w8n7n6nlu[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 >> "Accept: */*[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 >> "Host: jt.yunba.io[\r][\n]"
2018-06-15 12:40:01[DEBUG]	 >> "Connection: Keep-Alive[\r][\n]"
